team,name,position,class,height_in,weight_lb,games_played,follower_count,instagram_user,engagement_rate,team_FPI,team_RK,program_tier,season_pass_yards,career_pass_yards,season_rec_yards,career_rec_yards,season_rush_yards,career_rush_yards,season_scoring_td,career_scoring_td,season_def_tackles,career_def_tackles,season_def_sacks,career_def_sacks,performance_data_status,nil_value
Ole Miss Rebels,Zamari Walton,CB,SR,75,175,61,16761,zamari.walton21,,19.3,9,3,0,0,53,0,276,0,3,0,0,0,0,0,0,130000
South Carolina Gamecocks,LaNorris Sellers,QB,SO,75,240,27,"99,056",lanorrisellers,0.0872,9,34,3,2437,5057,21,21,270,995,5,13,1,2,0,0,1,2700000
South Carolina Gamecocks,Dylan Stewart,EDGE,JR,77,250,24,"43,954",,0.162,9,34,3,0,0,0,0,0,0,0,0,33,56,4.5,11,1,2500000
South Carolina Gamecocks,Jaccarius Peak,OT,SR,77,310,38,17304,jacarriusp,,9,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000
South Carolina Gamecocks,Gabriel Brownlow-Dindy,DL,JR,75,279,20,"6,043",,0.0586,9,34,3,0,0,0,0,0,0,0,0,18,22,0,0.5,1,767000
South Carolina Gamecocks,Nyck Harbor,WR,SR,77,225,36,98517,nyck1k,,9,34,3,0,0,618,1189,12,23,6,10,3,6,0,0,1,343000
South Carolina Gamecocks,Justin Okoronkwo,LB,SO,75,225,25,5624,justin.okrw,,9,34,3,0,0,0,0,0,0,0,0,63,77,0,0,1,269000
South Carolina Gamecocks,Peyton Williams,S,SR,72,198,28,"2,183",,0.383,9,34,3,0,0,0,0,0,0,0,0,50,72,1,1,1,218000
South Carolina Gamecocks,Josiah Thompson,OT,SO,78,265,24,4126,jthompson.74,,9,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,182000
South Carolina Gamecocks,Malik Clark,WR,FR,74,180,4,5996,themalikclark,,9,34,3,0,0,9,9,0,0,0,0,0,0,0,0,1,148000
South Carolina Gamecocks,Dakereon Joyner,RB,SR,73,229,55,36594,kereonjoyner,,9,34,3,101,430,117,559,120,445,5,9,1,2,0,0,1,109000
South Carolina Gamecocks,Air Noland,QB,SR,74,195,2,49348,airnoland_,,9,34,3,13,13,0,0,4,4,0,0,0,0,0,0,1,NA
South Carolina Gamecocks,Donovan Murph,WR,FR,73,190,12,13633,donovan6k_,,9,34,3,0,0,197,197,0,0,1,1,0,0,0,0,1,NA
South Carolina Gamecocks,Mazeo Bennett,WR,SO,71,180,24,28578,themazeobennett,,9,34,3,0,0,62,399,0,0,3,3,1,1,0,0,1,NA
South Carolina Gamecocks,Donovan Darden,EDGE,FR,76,225,10,1802,d5_killaa,,9,34,3,0,0,0,0,0,0,0,0,1,1,0,0,1,NA
South Carolina Gamecocks,Jaquavious Dodd,EDGE,FR,77,235,2,2334,quaydodd,,9,34,3,0,0,0,0,0,0,0,0,1,1,1,1,1,NA
South Carolina Gamecocks,Colten Gauthier,QB,SO,75,208,2,4477,coltengauthier,,9,34,3,15,34,0,0,0,0,0,0,0,0,0,0,1,NA
South Carolina Gamecocks,Ahmarean Brown,WR,SR,69,169,54,7301,ahmareanbrown,,9,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
South Carolina Gamecocks,Landon Samson,WR,FR,72,191,1,5274,landon_samson,,9,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
South Carolina Gamecocks,Isaiah Norris,CB,SR,71,183,9,4983,zayy__1,,9,34,3,0,0,0,0,0,0,1,1,1,33,0,0,1,NA
South Carolina Gamecocks,Donovan Westmoreland,EDGE,SO,73,211,23,1925,donovan.10k,,9,34,3,0,0,0,0,0,0,0,0,37,37,4,4,1,NA
Tennessee Volunteers,David Sanders Jr.,OT,SO,77.75,276,9,30499,clt_bigdave,,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891000
Tennessee Volunteers,Faizon Brandon,QB,FR,75.5,195,0,36333,imjust.faizon_,,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864000
Tennessee Volunteers,Braylon Staley,WR,SO,72,180,17,19221,br6y_,,19,3,0,0,0,837,858,0,0,6,6,0,0,0,0,1,755000
Tennessee Volunteers,Desean Bishop,RB,JR,70,190,23,13723,dbishhhhhh,,19,3,0,0,0,135,145,1076,1531,16,19,1,1,0,0,1,627000
Tennessee Volunteers,Boo Carter,S,SO,70,180,22,54849,boo.carter6,,19,3,0,0,0,0,0,0,0,0,0,25,63,1,2,1,562000
Tennessee Volunteers,Tyler Redmond,CB,SO,73,175,0,5813,tyyredmond,,19,3,0,0,0,0,0,0,0,0,0,43,43,0,0,1,550000
Tennessee Volunteers,Ethan Davis,TE,JR,76,225,24,25204,iamethandavis,,19,3,0,0,0,257,390,0,0,2,4,0,0,0,0,1,537000
Tennessee Volunteers,Tristen Keys,WR,FR,74.5,195,0,47489,5ways.tk,,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396000
Tennessee Volunteers,Wendell Moe,IOL,SR,75,330,40,2552,wowo75mo3,,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390000
Tennessee Volunteers,Isaiah Campbell,DL,SO,75.5,265,8,3019,chris_2bre3zy,,19,3,0,0,0,0,0,0,0,0,0,4,4,0.5,0.5,1,387000
Tennessee Volunteers,George MacIntyre,QB,FR,74.25,190,2,43848,gmac4_,,19,3,0,69,69,0,0,0,0,0,0,0,0,0,,1,376000
Tennessee Volunteers,Mike Matthews,WR,JR,72,180,24,28927,mike.matthewss,,19,3,0,0,0,813,903,32,32,4,6,0,0,0,0,1,376000
Tennessee Volunteers,Amare Campbell,LB,JR,72,230,37,5982,amarecampbell_,,19,3,0,0,0,0,0,0,0,1,1,103,193,3,10.5,1,257000
Tennessee Volunteers,John Campbell,OT,SR,77,315,54,20153,jcamp.74,,19,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,255000
Tennessee Volunteers,Omari Thomas,DL,SR,76,305,61,14404,__big0,,19,3,0,0,0,0,0,0,0,0,0,23,0,1,0,0,253000
Tennessee Volunteers,Javontez Spraggins,IOL,SR,75,315,56,9653,javontez_spraggins,,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246000
Tennessee Volunteers,Andrej Karic,IOL,SR,76,296,44,2746,_andrejkaric,,19,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,245000
Tennessee Volunteers,Edwin Spillman,LB,SO,73,220,17,11018,edwin_spillman,,19,3,0,0,0,0,0,0,0,0,0,81,87,2.5,2.5,1,231000
Tennessee Volunteers,Gabriel Osenda,OT,FR,79.5,345,0,3826,3k_golden,,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213000
Tennessee Volunteers,Mariyon Dye,DL,FR,77,264,7,6614,99booda,,19,3,0,0,0,0,0,0,0,0,0,8,8,1,1,1,174000
Texas Longhorns,Arch Manning,QB,SO,76,195,25,"623,674",,0.0757,18.6,11,1,3163,4132,4,4,399,514,11,15,0,0,0,0,1,5400000
Texas Longhorns,Cam Coleman,WR,SO,75,214,23,"104,385",,0.3272,18.6,11,1,0,0,708,1306,0,0,5,13,0,0,0,0,1,2900000
Texas Longhorns,Colin Simmons,EDGE,JR,74.5,225,29,91781,colinsimmons,,18.6,11,1,0,0,0,0,0,0,0,0,43,91,12,21,1,1500000
Texas Longhorns,Ryan Wingo,WR,SO,74,214,29,"40,226",,0.2546,18.6,11,1,0,0,834,1306,42,142,7,9,1,1,0,0,1,1400000
Texas Longhorns,Justus Terry,DL,FR,77,268,10,"22,882", 706jaay,,18.6,11,1,0,0,0,0,0,0,0,0,8,8,0,0,1,825000
Texas Longhorns,Hero Kanu,DL,SR,76.5,296,42,11261,herokanu93,,18.6,11,1,0,0,0,0,0,0,0,0,31,45,2,3,1,655000
Texas Longhorns,Rasheem Biles,LB,SR,74,180,31,9682,heem3biles_,,18.6,11,1,0,0,0,0,0,0,3,4,100,183,4.5,10.5,1,595000
Texas Longhorns,Melvin Siani,OT,SR,78,275,28,9505,melly1of1,,18.6,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,565000
Texas Longhorns,Hollywood Smothers,RB,SR,70.5,190,26,44954,h3llywood,,18.6,11,1,-4,-4,189,453,939,1552,1,3,2,2,0,0,1,550000
Texas Longhorns,Raleek Brown,RB,SR,67.5,165,30,43832,bandaidleekfo3,,18.6,11,1,0,0,239,438,1141,1426,6,13,0,0,0,0,1,535000
Texas Longhorns,Jonah Williams,S,FR,75.25,206,8,29207,409.jonah,,18.6,11,1,0,0,263,0,482,0,6,0,9,9,0,0,1,442000
Texas Longhorns,Brandon Baker,OT,JR,76.5,300,21,7896,emanielex,,18.6,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,440000
Texas Longhorns,Kaliq Lockett,WR,FR,73.5,175,5,14146,k5liq_,,18.6,11,1,0,0,47,47,0,0,1,1,0,0,0,0,1,425000
Texas Longhorns,Kade Phillips,CB,FR,72.5,185,12,6652,thekadephillips,,18.6,11,1,0,0,0,0,0,0,0,0,22,22,0,0,1,422000
Texas Longhorns,Lance Jackson,EDGE,SO,77.25,270,13,11369,l4ncejacks0n,,18.6,11,1,0,0,0,0,0,0,0,0,16,16,2,2,1,328000
Texas Longhorns,Jelani McDonald,S,SR,74,180,39,7926,thejelanimcdonald,,18.6,11,1,0,0,0,0,0,0,0,0,80,115,0,0,1,304000
Texas Longhorns,CJ Baxter,RB,JR,73,216,22,46573,c4era,,18.6,11,1,0,0,41,197,196,855,1,6,0,0,0,0,1,275000
Texas Longhorns,Morice Blackwell,LB,SR,73,196,48,13782,moriceblackwelljr,,18.6,11,1,0,0,0,0,0,0,0,0,30,64,0,0,1,274000
Texas Longhorns,Gavin Holmes,CB,SR,71,178,57,6123,gavinh0lmes,,18.6,11,1,0,0,0,0,0,0,0,0,14,0,0,0,0,266000
Texas A&M Aggies,Marcel Reed,QB,SO,73,185,27,"116,488",marcel.reed,0.0741,18.4,12,3,3169,5407,4,4,493,1085,6,14,1,1,0,0,1,1100000
Texas A&M Aggies,Mario Craver,WR,SO,69,165,21,"47,002",craverrr,0.0865,18.4,12,3,0,0,917,1285,81,88,5,9,2,2,0,0,1,1000000
Texas A&M Aggies,Lamont Rogers,OT,FR,79,325,4,3075,lamontrogers79,,18.4,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,684000
Texas A&M Aggies,Marcus Ratcliffe,S,JR,74,209,38,"4,031",z0ne.3,1.0921,18.4,12,3,0,0,0,0,0,0,0,0,66,164,0,0,1,624000
Texas A&M Aggies,Wilkin Formby,OT,JR,79,300,27,15158,wilkinformby,,18.4,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,454000
Texas A&M Aggies,Brandon Arrington,CB,FR,74,185,0,75320,brandon2jubie,,18.4,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,406000
Texas A&M Aggies,Daymion Sanford,LB,SR,74,205,39,11338,daymionsanford,,18.4,12,3,0,0,0,0,0,0,0,0,57,94,3.5,4.5,1,365000
Texas A&M Aggies,Jerome Myles,WR,FR,75,215,0,10012,jeromemyles6,,18.4,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,333000
Texas A&M Aggies,Marco Jones,EDGE,SO,77,242,13,14233,the_halfrican10,,18.4,12,3,0,0,0,0,0,0,0,0,21,21,2.5,2.5,1,288000
Texas A&M Aggies,Isaiah Horton,WR,SR,75,205,44,69481,isaiahhorton_,,18.4,12,3,0,0,511,1301,0,0,8,14,0,0,0,0,1,188000
Texas A&M Aggies,Helaman Casuga,QB,FR,72,215,0,7134,helamancasuga,,18.4,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,187000
Texas A&M Aggies,Julian Humphrey,CB,SR,73,189,33,91123,julian.12k,,18.4,12,3,0,0,0,0,0,0,0,0,7,28,0,0,1,187000
Texas A&M Aggies,Bryce Perry-Wright,EDGE,FR,73,250,0,10040,brycepw_,,18.4,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,182000
Texas A&M Aggies,Aaron Gregory,WR,FR,75,178,0,123123,aarongregory_07,,18.4,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,179000
Texas A&M Aggies,KJ Edwards,RB,FR,70,190,1,14148,Kjtooofficial0_,,18.4,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,175000
Texas A&M Aggies,Dezz Ricks,CB,JR,73,175,28,21845,dezzricks,,18.4,12,3,0,0,0,0,0,0,0,0,26,46,0,0,1,167000
Texas A&M Aggies,Brady Hart,QB,FR,77,185,2,15980,bradyhart_13,,18.4,12,3,62,62,0,0,9,9,0,0,0,0,0,0,1,165000
Texas A&M Aggies,Terry Bussey,WR,JR,70,180,25,33626,tbussey.x,,18.4,12,3,0,0,195,411,1,103,1,3,1,1,0,0,1,153000
Texas A&M Aggies,Adonyss Currie,CB,FR,72,160,3,13857,adonysscurrie,,18.4,12,3,0,0,0,0,0,0,0,0,0,0,1,0,1,149000
Texas A&M Aggies,Max Wright,TE,SR,76,265,53,6815,maxwright2k18,,18.4,12,3,0,0,247,441,0,0,1,2,1,4,0,0,1,138000
Vanderbilt Commodores,Bryan Longwell,LB,JR,73,240,38,"1,643",_willfaris,0.2933,17,14,8,0,0,0,0,0,0,0,0,70,195,1,2.5,1,236000
Vanderbilt Commodores,Langston Patterson,LB,SR,73,235,47,"2,368",langston.patterson,0.2974,17,14,8,0,0,15,0,111,0,0,0,69,226,0,1,1,181000
Vanderbilt Commodores,Aaron Bryant,DL,SR,75,290,24,2790,aaronbryant.55,,17,14,8,0,0,0,0,0,0,0,0,3,5,0,0,1,NA
Vanderbilt Commodores,Errington Truesdell,LB,JR,72,215,16,2033,errithetruth,,17,14,8,0,0,0,0,0,0,0,0,6,14,0,0,1,NA
Vanderbilt Commodores,Carson Lawrence,S,FR,74,185,13,3881,carsonlawrence__,,17,14,8,0,0,0,0,0,0,0,0,9,9,0,0,1,NA
Vanderbilt Commodores,Kane Patterson,LB,SR,73,212,59,2447,kane_patterson4,,17,14,8,0,0,0,0,0,0,0,0,43,113,2,5.5,1,NA
Vanderbilt Commodores,Jaylen Mahoney,CB,SR,71,180,54,8249,jaylenmahoney_,,17,14,8,0,0,0,0,0,0,0,0,3,3,0,0,1,NA
Vanderbilt Commodores,Wilson Long,WR,SR,72,180,1,1858,_wilsonlong,,17,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Vanderbilt Commodores,Quantaves Gaskins,CB,SO,73,180,5,1330,_.quantaves,,17,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Vanderbilt Commodores,Alex Brown,EDGE,SR,75,225,9,1106,alexander.brown56,,17,14,8,0,0,0,0,0,0,0,0,4,5,0,0,1,NA
Vanderbilt Commodores,Wesley Schelling,LS,SR,77,240,37,4504,wesleyschelling,,17,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Vanderbilt Commodores,Jordan Matthews,CB,SO,73,175,30,,jordan_matthews,,17,14,8,0,0,0,0,0,0,0,0,19,23,0,0,1,NA
Vanderbilt Commodores,Daevion Davis,DL,SR,73,315,31,1954,daevion9davis,,17,14,8,0,0,0,0,0,0,0,0,2,59,0,2,1,NA
Vanderbilt Commodores,Michael Spencer,DL,SR,76,220,26,1555,mvspencer22,,17,14,8,0,0,0,0,0,0,0,0,3,9,0,0,1,NA
Vanderbilt Commodores,Bradley Ashmore,OT,SR,78,280,40,1847,_ashmore_,,17,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Vanderbilt Commodores,Brayden Bapst,DL,SR,78,270,20,1296,brayden_bapst,,17,14,8,0,0,0,0,0,0,0,0,4,5,0,0,1,NA
Vanderbilt Commodores,BJ Anderson,CB,SR,74,172,35,2079,bj_andersonnn,,17,14,8,0,0,0,0,0,0,0,0,8,76,0,1,1,NA
Vanderbilt Commodores,CJ Heard,S,SO,71,200,25,41057,cjheard_,,17,14,8,0,0,0,0,0,0,0,0,71,151,2,2,1,NA
Vanderbilt Commodores,Austin Howard,LB,FR,75,225,13,4184,_.thr3ezip,,17,14,8,0,0,0,0,0,0,0,0,8,8,0,0,1,NA
Vanderbilt Commodores,Dontae Carter,S,SO,73,185,26,13843,itzcarter.boy,,17,14,8,0,0,0,0,0,0,0,0,33,44,0,0,1,NA
